,WinningPlayer,WinningCharacter,LosingPlayer,LosingCharacter,StockCount,Stage
201710171732,Sean,CaptainFalcon,Allen,Samus,2,smashville
201710171738,Sean,CaptainFalcon,Allen,Mewtwo,1,yoshisStory
201710171745,Sean,Fox,Allen,MrGameAndWatch,1,greenHillZone
201710171750,Allen,Ganondorf,Sean,Fox,3,battlefield
201710171758,Allen,Ivysaur,Sean,Fox,1,fountainOfDreams
201710171803,Sean,CaptainFalcon,Allen,Wario,2,warioLand
201710171810,Allen,Roy,Sean,CaptainFalcon,1,delfinosSecret
201710171816,Sean,CaptainFalcon,Allen,Lucario,1,pokemonStadium2
201710171820,Sean,CaptainFalcon,Allen,Charizard,2,norfair
201710171826,Sean,CaptainFalcon,Allen,Charizard,1,finalDestination
201710171832,Allen,Charizard,Sean,CaptainFalcon,1,pokemonStadium2
201710181948,Josh,Ike,Brett,Samus,1,warioLand
201710181953,Allen,Ganondorf,Torben,CaptainFalcon,1,battlefield
201710181957,Sean,CaptainFalcon,Joe,Kirby,4,norfair
201710182003,Brett,Samus,Torben,Fox,3,pokemonStadium2
201710182007,Josh,Ike,Joe,Pit,4,yoshisStory
201710182012,Sean,CaptainFalcon,Allen,Bowser,1,smashville
201710182018,Brett,Samus,Joe,Kirby,2,delfinosSecret
201710182024,Allen,Roy,Josh,Snake,2,yoshisIsland
201710182030,Sean,CaptainFalcon,Torben,ToonLink,1,dreamland
201710182035,Allen,Falco,Joe,Ness,3,fountainOfDreams
201710182040,Brett,Samus,Sean,CaptainFalcon,1,finalDestination
201710182047,Josh,MrGameAndWatch,Torben,ToonLink,1,greenHillZone
201710182054,Allen,Ness,Brett,Samus,1,yoshisIsland
201710182059,Torben,ToonLink,Joe,MrGameAndWatch,2,yoshisStory
201710182105,Josh,Snake,Sean,CaptainFalcon,2,pokemonStadium2
201710182114,Allen,Charizard,Brett,Samus,1,delfinosSecret
201710182119,Torben,ToonLink,Josh,MrGameAndWatch,3,greenHillZone
201710182135,Torben,ToonLink,Allen,Charizard,1,warioLand
201710182140,Brett,Samus,Josh,Snake,2,fountainOfDreams
201710182145,Torben,Ike,Sean,CaptainFalcon,2,smashville
201710182159,Sean,Fox,Brett,Mario,1,finalDestination
201710182208,Brett,Samus,Torben,ToonLink,1,greenHillZone
201710182216,Sean,CaptainFalcon,Torben,ToonLink,2,smashville
201710182221,Sean,CaptainFalcon,Brett,Samus,2,delfinosSecret
201710182228,Sean,CaptainFalcon,Torben,ToonLink,1,dreamland
201710182233,Sean,CaptainFalcon,Torben,ToonLink,2,battlefield
201710182237,Sean,CaptainFalcon,Brett,Mario,3,norfair
201710182245,Allen,Ganondorf,Brett,Samus,1,pokemonStadium2
201710182253,Sean,CaptainFalcon,Allen,Zelda,2,finalDestination
201710182258,Sean,CaptainFalcon,Allen,Zelda,1,yoshisIsland
201710182302,Torben,CaptainFalcon,Brett,Samus,2,battlefield
201710182306,Brett,Kirby,Torben,Ike,1,pokemonStadium2
201710182311,Sean,Fox,Brett,Kirby,2,finalDestination
201710182314,Sean,Fox,Brett,DiddyKong,2,yoshisIsland
201710182317,Torben,CaptainFalcon,Allen,Charizard,3,warioLand
201710182319,Torben,CaptainFalcon,Allen,Charizard,3,greenHillZone
201710182323,Torben,CaptainFalcon,Allen,Charizard,1,norfair
201710182328,Brett,ToonLink,Torben,CaptainFalcon,1,delfinosSecret
201710182332,Torben,CaptainFalcon,Brett,ZeroSuitSamus,1,smashville
201710182334,Torben,Wolf,Brett,IceClimbers,3,fountainOfDreams
201710182337,Brett,Samus,Torben,CaptainFalcon,3,dreamland
201710182340,Brett,Samus,Torben,CaptainFalcon,2,yoshisStory
201710182343,Brett,Samus,Torben,CaptainFalcon,2,smashville
201710182346,Brett,Samus,Torben,CaptainFalcon,2,delfinosSecret
201710182349,Brett,Samus,Torben,CaptainFalcon,1,yoshisStory
201710182356,Brett,Samus,Torben,CaptainFalcon,1,fountainOfDreams
201710190000,Brett,Samus,Torben,CaptainFalcon,1,dreamland
201710190004,Brett,Samus,Torben,CaptainFalcon,1,norfair
201710190009,Brett,Samus,Torben,CaptainFalcon,1,warioLand
201710190014,Brett,Samus,Torben,CaptainFalcon,1,finalDestination
201710190018,Brett,Samus,Torben,CaptainFalcon,1,yoshisStory
201710190022,Brett,Samus,Torben,Jigglypuff,3,pokemonStadium2
201710190025,Torben,Jigglypuff,Brett,Samus,1,battlefield
201710190028,Brett,Samus,Torben,CaptainFalcon,2,greenHillZone
201710190033,Brett,Samus,Torben,CaptainFalcon,2,delfinosSecret
201710190037,Brett,Samus,Torben,CaptainFalcon,2,finalDestination
201710190041,Torben,CaptainFalcon,Brett,Samus,1,warioLand
201710190047,Torben,CaptainFalcon,Sean,CaptainFalcon,4,yoshisIsland
201710190054,Brett,Samus,Sean,CaptainFalcon,1,smashville
201710190059,Torben,Jigglypuff,Sean,CaptainFalcon,3,yoshisStory
201710190104,Torben,Jigglypuff,Sean,CaptainFalcon,1,battlefield
201710190112,Brett,Samus,Sean,CaptainFalcon,1,norfair
201710190116,Torben,Wolf,Sean,Fox,3,greenHillZone
201710190120,Brett,Samus,Sean,Fox,2,fountainOfDreams
201710190128,Brett,Samus,Sean,Fox,1,dreamland
201710190133,Torben,CaptainFalcon,Sean,Fox,2,pokemonStadium2
201710190139,Brett,Samus,Sean,CaptainFalcon,1,delfinosSecret
201710190145,Torben,Ike,Sean,Sheik,2,dreamland
201710190150,Brett,Samus,Sean,Sheik,2,warioLand
201710190157,Torben,ToonLink,Sean,CaptainFalcon,1,yoshisIsland
201710190203,Brett,Samus,Sean,CaptainFalcon,1,greenHillZone
201710190208,Torben,Ike,Sean,CaptainFalcon,1,fountainOfDreams
201710190213,Torben,ToonLink,Brett,Samus,2,smashville
201710190219,Brett,Mario,Sean,Fox,1,yoshisStory
201710190225,Torben,Mario,Sean,CaptainFalcon,1,finalDestination
201710190235,Brett,Mario,Sean,RoboticOperatingBuddy,1,pokemonStadium2
201710190240,Sean,CaptainFalcon,Torben,Wolf,2,norfair
201710190248,Sean,CaptainFalcon,Brett,Samus,1,delfinosSecret
201710190252,Brett,Samus,Sean,CaptainFalcon,2,delfinosSecret
201710190259,Sean,CaptainFalcon,Brett,Samus,1,battlefield
201710190309,Sean,CaptainFalcon,Brett,Samus,1,finalDestination
201710190315,Torben,Samus,Sean,CaptainFalcon,1,greenHillZone
201710190321,Torben,Samus,Sean,CaptainFalcon,1,dreamland
201710190324,Torben,Samus,Sean,CaptainFalcon,2,pokemonStadium2
201710190326,Torben,Samus,Sean,CaptainFalcon,4,yoshisIsland
201710190331,Torben,Samus,Sean,Sheik,2,fountainOfDreams
201710190334,Torben,Samus,Sean,CaptainFalcon,3,norfair
201710190337,Torben,CaptainFalcon,Sean,CaptainFalcon,2,yoshisStory
201710190341,Torben,CaptainFalcon,Sean,CaptainFalcon,1,warioLand
201710190345,Sean,CaptainFalcon,Torben,CaptainFalcon,1,fountainOfDreams
201710190349,Torben,Pikachu,Sean,Fox,2,yoshisIsland
201710190354,Torben,Samus,Sean,CaptainFalcon,1,finalDestination
201710190358,Torben,CaptainFalcon,Sean,CaptainFalcon,3,battlefield
201710190403,Torben,CaptainFalcon,Sean,CaptainFalcon,1,pokemonStadium2
201710190409,Torben,CaptainFalcon,Sean,CaptainFalcon,1,smashville
201710190413,Torben,ToonLink,Sean,CaptainFalcon,1,greenHillZone
201710190419,Torben,ToonLink,Sean,CaptainFalcon,1,dreamland
201710190425,Torben,ToonLink,Sean,RoboticOperatingBuddy,1,delfinosSecret
201710190430,Torben,ToonLink,Sean,RoboticOperatingBuddy,3,norfair
201710190435,Torben,CaptainFalcon,Sean,CaptainFalcon,1,yoshisStory
201710190438,Torben,CaptainFalcon,Sean,CaptainFalcon,2,warioLand
201710190444,Sean,CaptainFalcon,Torben,Jigglypuff,1,dreamland
201710190445,Torben,Jigglypuff,Sean,CaptainFalcon,2,delfinosSecret
201710190452,Torben,ToonLink,Sean,Mewtwo,2,battlefield
201710190456,Sean,CaptainFalcon,Torben,CaptainFalcon,1,warioLand
201710190500,Sean,CaptainFalcon,Torben,CaptainFalcon,1,yoshisStory
201710190503,Sean,CaptainFalcon,Torben,CaptainFalcon,1,norfair
201710190507,Sean,CaptainFalcon,Torben,CaptainFalcon,2,yoshisIsland
201710190510,Sean,CaptainFalcon,Torben,CaptainFalcon,1,greenHillZone
201710190514,Sean,CaptainFalcon,Torben,CaptainFalcon,1,finalDestination
201710190517,Torben,CaptainFalcon,Sean,CaptainFalcon,1,pokemonStadium2
201710190521,Sean,CaptainFalcon,Torben,CaptainFalcon,1,fountainOfDreams
201710190525,Sean,CaptainFalcon,Torben,CaptainFalcon,1,smashville
201710190530,Torben,CaptainFalcon,Sean,CaptainFalcon,1,pokemonStadium2
201710190533,Torben,CaptainFalcon,Sean,CaptainFalcon,2,fountainOfDreams
201710190545,Sean,CaptainFalcon,Torben,CaptainFalcon,1,warioLand
201710190550,Sean,CaptainFalcon,Torben,CaptainFalcon,2,yoshisIsland
201710190555,Sean,CaptainFalcon,Torben,CaptainFalcon,1,norfair
